x,y,z
-13710.7479,-6016.1666,-11717.5264
-13678.2748,-6068.1344,-11717.8709
-13647.6392,-6117.1616,-11721.0398
-13617.2896,-6165.7311,-11722.4847
-13587.2528,-6213.7999,-11724.5603
-13557.0577,-6262.1222,-11724.3177
-13526.1735,-6311.5473,-11729.5398
-13494.9967,-6361.4405,-11730.4959
-13462.2656,-6413.8212,-11731.6305
-13427.9836,-6468.684,-11733.7992
-13391.4536,-6527.1442,-11736.677
-13352.9358,-6588.7856,-11735.7212
-13311.3273,-6655.3731,-11734.9512
-13264.2416,-6730.7259,-11735.3518
-13210.4129,-6816.8698,-11739.1599
-13047.0401,-7078.321,-11897.3928
-12878.2453,-7348.4492,-12013.9332
-12737.6628,-7573.4282,-12039.6106
-12548.0631,-7876.8511,-12077.8724
-12309.3262,-8258.9101,-12102.8281
-12061.176,-8656.0334,-12028.8398
-11139.4373,-10131.1236,-12204.4041
-11117.4445,-10166.3194,-11845.3096
-11022.1992,-10318.7438,-11504.684
-10788.7153,-10692.3962,-11094.3113
-10065.1691,-11850.3121,-10588.4315
-9831.776,-12223.8192,-10021.2131
-9482.8098,-12782.2818,-9327.5111
-9284.5188,-13099.6137,-8073.2901
-9557.096,-12663.399,-7535.0519
-9657.8557,-12502.1499,-6919.7532
-9741.6258,-12368.0897,-6259.8882
-9848.2046,-12197.5279,-5589.6651
-10022.5974,-11918.4411,-4981.4293
-10240.7141,-11569.3814,-4425.5698
-10413.0094,-11293.6513,-3732.361
-11117.6238,-10166.0325,-4286.8543
-11657.1766,-9302.5675,-4710.1951
-12047.2798,-8678.272,-4877.5819
-12243.9559,-8363.5244,-4419.2724
-12474.559,-7994.4823,-4012.3312
-12698.7424,-7635.7139,-3371.839
-13051.5153,-7071.1592,-3662.2381
-15718.0673,-8409.0516,-5539.343
-15871.1295,-8030.2095,-5378.6632
-16031.6143,-7632.9955,-5195.3176
-16194.3671,-7230.1683,-5261.7994
-16356.7004,-6828.3792,-5691.0568
-16410.3155,-6695.6772,-6873.2692
-16547.1852,-6356.9128,-6884.06
-16967.7177,-5316.0584,-5437.6592
-16661.1676,-6074.7966,-7981.9356
-16691.656,-5999.3351,-8327.4699
-16758.8567,-5833.0075,-8496.7263
-16800.5712,-5729.7604,-8734.2328
-16810.167,-5706.0101,-9032.2626
-16863.8441,-5573.1545,-9201.9023
-16923.6706,-5425.0788,-9361.6501
-16970.0493,-5310.2875,-9549.5428
-16990.2031,-5260.4049,-9771.7937
-16986.9042,-5268.5702,-10010.0772
-16974.8407,-5298.4282,-10243.7919
-16953.1613,-5352.0868,-10464.9095
-16943.0219,-5377.1826,-10667.4522
-16935.0584,-5396.893,-10862.2415
-16914.4118,-5447.9952,-11054.0535
-16856.0965,-5592.3305,-11224.8209
-16808.6121,-5709.8587,-11382.268
-16662.3473,-6071.8767,-11489.552
-16554.8242,-6338.0056,-11545.8756
-16495.906,-6483.8334,-11607.4995
-16450.4084,-6596.4439,-11668.5291
-16381.0313,-6768.1581,-11674.0554
-16343.4298,-6861.2251,-11716.1951
-16289.997,-6993.4759,-11717.5602
-16248.5742,-7096.0009,-11720.4133
-16212.5102,-7185.2627,-11723.292
-16179.9936,-7265.744,-11723.6587
-16149.9763,-7340.0395,-11720.7403
-16122.8013,-7407.2999,-11721.4548
-16098.0116,-7468.6565,-11722.6565
-16074.4092,-7527.0746,-11724.0875
-16051.5978,-7583.5348,-11724.5389
-16029.8729,-7637.3057,-11729.4938
-16008.1708,-7691.0204,-11729.9812
-15986.5548,-7744.5217,-11731.5376
-15964.7342,-7798.5296,-11733.6498
-15942.637,-7853.2222,-11736.7886
-15919.8638,-7909.5878,-11735.8221
-15895.7131,-7969.3629,-11740.548
-15870.8611,-8030.8738,-11739.7342
-15843.7539,-8097.9664,-11741.9923
-15814.6578,-8169.9819,-11742.3264
-15781.0424,-8253.1829,-11749.6359
-15745.4008,-8341.3989,-11748.994
-15622.1438,-8646.4705,-11941.0744
-15549.3539,-8826.6321,-11967.7666
-15449.8118,-9073.0073,-12014.3079
-15201.3268,-9688.0294,-12247.6284
-14728.8115,-10857.5456,-12602.9408
-14698.3923,-10932.8357,-12326.82
-14655.6184,-11038.7048,-12065.7535
-14602.9189,-11169.1407,-11805.9617
-14471.0836,-11495.4446,-11565.6148
-14174.4152,-12229.7247,-11279.3945999999
-13940.873,-12807.7619,-10872.6049
-13756.9959,-13262.8737,-10406.224
-13625.3376,-13588.7395,-9889.2256
-13678.2657,-13457.7379,-9418.9384
-13722.137,-13349.1524,-8944.1365
-13762.6476,-13248.8853,-8459.8317
-13439.2809,-14049.246,-7357.1484
-13534.8393,-13812.7306,-6821.7152
-13694.5062,-13417.5412,-6398.9005
-13730.6663,-13328.0419,-5707.3951
-14214.2741,-12131.0704,-6086.0262
-14354.1482,-11784.8699,-5719.8967
-14525.4591,-11360.8606,-5458.0551
-14679.0035,-10980.8249,-5133.1709
-14864.9718,-10520.5372,-4961.0785
-14997.9921,-10191.3004,-4466.7518
-15499.7819,-8949.327,-6662.204
-15592.9158,-8718.8126,-6200.9296
-15718.0673,-8409.0516,-5539.343
-18564.6444,-9001.945,-4371.3454
-18711.6971,-8637.9769,-4184.6707
-18865.534,-8257.2171,-3947.8674
-19025.6565,-7860.9001,-3950.5206
-19184.6407,-7467.4004,-4021.4058
-19147.4084,-7559.5536,-7441.0948
-19203.9749,-7419.5465,-7765.4905
-19275.5711,-7242.3398,-7956.2298
-19329.2076,-7109.5848,-8130.2914
-19520.7767,-6635.4346,-7551.81
-19621.3058,-6386.6164,-7592.0187
-19681.4699,-6237.7048,-7779.8691
-19886.1825,-5731.0234,-7446.4045
-20821.1128,-3416.9898,-5001.6409
-20093.2076,-5218.6185,-7764.7558
-19856.057,-5805.5867,-8796.1549
-19857.3466,-5802.3947,-9049.4323
-19886.0626,-5731.3203,-9230.2186
-19916.8325,-5655.1619,-9403.3633
-19937.0382,-5605.1513,-9591.1143
-19988.3372,-5478.1818,-9745.2368
-20045.9784,-5335.5148,-9898.1795
-20071.4283,-5272.5241,-10081.7759
-20084.2431,-5240.8064,-10274.4592
-20123.2496,-5144.2618,-10455.2057
-20117.6421,-5158.141,-10656.4951
-20116.7289,-5160.401,-10852.739
-20068.9849,-5278.5717,-11046.5564
-20005.9593,-5434.5655,-11222.6686
-19939.175,-5599.8623,-11392.7741
-19857.8609,-5801.122,-11520.4056
-19854.3073,-5809.9174,-11680.4348
-19696.9825,-6199.3099,-11734.1776
-19588.7708,-6467.1432,-11770.2472
-19492.7706,-6704.7521,-11776.0904
-19415.1788,-6896.7985,-11777.1955
-19347.6673,-7063.8955,-11770.9475
-19290.0897,-7206.4048,-11761.8967
-19242.6432,-7323.8391,-11755.5321
-19182.4051,-7472.9337,-11706.7847
-19151.6715,-7549.0019,-11708.0475
-19122.4744,-7621.2674,-11704.5026
-19097.8952,-7682.103,-11708.3202
-19074.6794,-7739.5641,-11709.4401
-19052.9207,-7793.4187,-11710.1983
-19033.5455,-7841.374,-11715.9769
-19013.6721,-7890.5624,-11715.1132
-18994.9562,-7936.886,-11716.4109
-18977.0626,-7981.1741,-11717.1418
-18959.5598,-8024.495,-11718.0631
-18942.0726,-8067.7776,-11717.6394
-18925.0371,-8109.9419,-11718.279
-18908.2116,-8151.5864,-11721.679
-18890.9354,-8194.3465,-11729.2565
-18873.673,-8237.0723,-11725.5234
-18856.0156,-8280.776,-11724.632
-18838.3361,-8324.5343,-11723.3157
-18819.5331,-8371.0734,-11723.5214
-18800.2119,-8418.895,-11723.9023
-18779.5492,-8470.0369,-11725.9366
-18758.0251,-8523.311,-11725.8117
-18734.7847,-8580.8331,-11726.4059
-18710.0554,-8642.0401,-11725.3288
-18683.3262,-8708.1973,-11723.4272
-18653.2582,-8782.6181,-11724.5369
-18619.3637,-8866.5099,-11724.8718
-18452.5820999999,-9279.309,-11986.1012
-18383.2671,-9450.8696,-12001.1883
-18289.8394,-9682.1114,-12035.3309
-18312.3368,-9626.4282,-11801.3196
-17822.1119,-10839.7776,-12210.6729
-17740.085,-11042.8012,-12082.4869
-17653.0207,-11258.293,-11939.0893
-17562.5337,-11482.2561,-11775.0179
-17487.0479,-11669.0901,-11578.6949
-17381.1866,-11931.1058,-11373.2684
-17262.2491,-12225.4866,-11133.1078
-17020.7215,-12823.2884,-10851.907
-16877.4423,-13177.9168,-10509.3118
-16747.0204,-13500.7223,-10121.532
-16698.6515,-13620.4395,-9729.1628
-16743.3279,-13509.8616,-9378.8075
-16856.5282,-13229.6809,-9093.6296
-16876.4229,-13180.4398,-8732.6247
-16852.6645,-13239.244,-8302.653
-16883.8963,-13161.9427,-7926.8233
-16950.5956,-12996.8561,-7589.5782
-17043.784,-12766.2067,-7300.694
-17140.7547,-12526.1958,-7022.0825
-17232.6347,-12298.7848,-6734.2421
-17336.6526,-12041.3313,-6477.9021
-17432.1639,-11804.9325,-6193.5428
-17534.6695,-11551.2223,-5925.5132
-17646.3496,-11274.8044,-5679.1613
-17754.7545,-11006.4929,-5406.9432
-17885.3041,-10683.3712,-5232.7649
-18012.9728,-10367.3802,-5036.661
-18139.8124,-10053.4411,-4813.8784
-18273.7242,-9721.9978,-4618.7559
-18417.9601,-9365.0015,-4501.3773
-18564.6444,-9001.945,-4371.3454
-20463.49,-9982.8325,-2874.8125
-20908.961,-9269.9298,-2924.9576
-21340.6915,-8579.0166,-3120.8894
-21765.3978,-7899.3445,-3223.1107
-22121.6153,-7329.2773,-3814.2189
-22304.6159,-7036.4151,-5228.6663
-22658.2947,-6470.4108,-5327.6841
-23274.7111,-5483.9384,-4846.6067
-23354.8042,-5355.7625,-5908.2334
-23745.6433,-4730.2892,-6146.1215
-23769.1633,-4692.6494,-7019.3304
-23698.1503,-4806.2939,-7888.4999
-22930.617,-6034.604,-9356.6969
-22499.7375,-6724.1553,-10089.2958
-22534.5256,-6668.4827,-10371.8512
-22547.8659,-6647.1338,-10660.2132
-22512.3206,-6704.0182,-10951.2947
-22434.3606,-6828.7802,-11218.1521
-22212.1101,-7184.4554,-11408.8053
-21924.3736,-7644.93,-11480.8844
-21742.4087,-7936.1347,-11525.2215
-21645.9172,-8090.5534,-11586.723
-21578.0966,-8199.089,-11654.567
-21521.174,-8290.1842,-11719.386
-21435.9888,-8426.509,-11719.3869
-21364.8299,-8540.3872,-11715.1109
-21306.5732,-8633.6173,-11718.0141
-21254.1486,-8717.5143,-11718.7991
-21206.6623,-8793.5082,-11718.6084
-21162.9306,-8863.4936,-11723.0704
-21120.8367,-8930.8578,-11723.9574
-21079.6568,-8996.7594,-11726.541
-21038.2764,-9062.9819,-11727.0479
-20996.2969,-9130.1632,-11725.3064
-20952.7992,-9199.7741,-11725.8026
-20906.3677,-9274.0801,-11726.1434
-20856.3235,-9354.1674,-11725.5624
-20799.7397,-9444.7204,-11726.5773
-20733.5025,-9550.7222,-11729.9269
-20266.3278,-10298.358,-12373.8301
-20008.6962,-10710.6548,-12473.4829
-19860.7913,-10947.352,-12337.9079
-19681.9489,-11233.5597,-12193.7237
-19461.91,-11585.6955,-12023.9408
-19184.449,-12029.726,-11808.5667
-18814.3299,-12622.0404,-11520.5927
-18494.9135,-13133.2135,-11091.9342
-17969.9126,-13973.3905,-10445.8502
-17819.4576,-14214.1689,-9779.3112
-17844.3622,-14174.3131,-9120.5061
-17900.0835,-14085.1404,-8453.6529
-18055.8276,-13835.8978,-7852.338
-18317.238,-13417.5537,-7382.3243
-18490.9283,-13139.5911,-6805.5585
-18695.9755,-12811.4469,-6251.6437
-19058.5316,-12231.2359,-6037.0823
-19294.3175,-11853.8997,-5535.5802
-19516.2386,-11498.7517,-4885.5255
-19783.9411,-11070.3381,-4229.758
-20099.2208,-10565.7851,-3571.7294
-20463.49,-9982.8325,-2874.8125
-22862.5182,-11501.0048,-3038.8467
-23284.9913,-10824.9064,11.6581
-23903.1035,-9835.7202,-2250.6669
-24314.3388,-9177.606,-2892.0717
-24523.4614,-8842.9399,-4622.0746
-24602.9139,-8715.7894,-6151.4222
-24291.7353,-9213.7792,-8514.1562
-24436.4949,-8982.1155,-8639.3277
-24577.8125,-8755.96,-8790.3749
-24526.9909,-8837.2916,-9294.634
-24325.8264,-9159.2221,-9911.4143
-24282.8677,-9227.9704,-10176.8546
-24245.8368,-9287.2322,-10392.1048
-24231.7332,-9309.8027,-10564.2664
-24227.4795,-9316.61,-10717.3366
-24225.1361,-9320.3603,-10862.0586
-24220.8516,-9327.2168,-11003.8097
-24200.5306,-9359.7372,-11141.6639
-24185.2068,-9384.2605,-11276.2507
-24170.3016,-9408.1137,-11411.1953
-24128.077,-9475.6873,-11526.4524
-24067.5794,-9572.5037,-11617.2294
-23982.3038,-9708.9732,-11661.8457
-23895.9294,-9847.2011,-11675.9114
-23824.5714,-9961.3977,-11687.1504
-23763.1719,-10059.6575,-11695.4851
-23709.3939,-10145.7203,-11703.3727
-23660.4337999999,-10224.0728,-11707.5233
-23615.1329,-10296.5694,-11710.1948
-23572.6876,-10364.4961,-11713.9765
-23531.5006,-10430.4091,-11714.2265
-23491.7203,-10494.0709,-11714.431
-23452.1182,-10557.4475,-11716.9902
-23411.579,-10622.3238,-11722.9116
-23369.2706,-10690.0313,-11726.59
-23323.5262,-10763.2376,-11732.7224
-23276.6225,-10838.2993,-11728.4605
-23224.7592,-10921.2979,-11723.7693
-22772.9044,-11644.4168,-12586.566
-22271.8606,-12446.2544,-13104.8971
-22074.2917,-12762.4309,-12896.4928
-21480.185,-13713.2003,-13144.0447
-21698.7367,-13363.4444,-12452.5609
-21524.7434,-13641.8919,-12171.3162
-21225.2425,-14121.1936,-11872.0154
-20236.263,-15703.8916,-11608.3095
-19999.9606,-16082.0545,-10990.7312
-20001.4333,-16079.6977,-10328.5907
-19981.7145,-16111.2543,-9646.3675
-20069.2363,-15971.1902,-8989.8246
-20042.147,-16014.5422,-8235.0397
-20030.5708,-16033.068,-7416.8997
-20143.423,-15852.4666,-6661.4675
-20442.6377,-15373.623,-6135.1228
-20727.4397,-14917.8445,-5603.3884
-21812.9092,-13180.7302,-6824.8868
-22057.9474,-12788.5872,-6574.9713
-22284.7264,-12425.6648,-6267.269
-22491.6147,-12094.5744,-5800.0973
-22648.8598,-11842.9296,-4737.5211
-22862.5182,-11501.0048,-3038.8467
-25528.1383,-13813.5963,869.3081
-25364.6015,-14262.9101,153.8301
-25289.1208,-14470.2913,-675.0773
-25280.4051,-14494.2378,-1529.107
-25325.2894,-14370.9191,-2395.0916
-25297.9869,-14445.9319,-3229.0791
-25202.7831,-14707.5023,-4033.3155
-25006.327,-15247.2611,-4666.9044
-24895.1164,-15552.8096,-5466.5309
-24800.3771,-15813.1038,-6283.5554
-24708.7061,-16064.9678,-7092.6889
-24640.0799,-16253.5166,-7926.8087
-24527.2948,-16563.3912,-8717.5728
-24358.3219,-17027.6405,-9407.4125
-24231.0619,-17377.2843,-10114.8139
-24344.4907,-17065.6413,-10839.1774
-24573.9158,-16435.301,-11387.9948
-24840.4178,-15703.0929,-11701.9242
-24973.8336,-15336.536,-12287.1494
-25167.9032,-14803.334,-12446.9287
-25442.102,-14049.979,-12116.6695
-25735.7723,-13243.1266,-12045.3406
-25979.2177,-12574.2657,-11716.7187
-26273.2885,-11766.3128,-11704.1214
-26555.3668,-10991.309,-11582.4707
-26773.807,-10391.1498,-11041.4776
-26952.1473,-9901.1637,-10380.1733
-27001.2734,-9766.1909,-9568.5235
-26928.7348,-9965.489,-8834.1253
-27071.838,-9572.3162,-8105.017
-26986.6022,-9806.4998,-7369.4007
-26766.771,-10410.4808,-6989.4923
-26737.7158,-10490.3095,-6468.936
-26787.6211,-10353.1958,-5605.894
-26803.2286,-10310.3145,-4733.7343
-26802.2967,-10312.875,-3861.0772
-26747.6482,-10463.0203,-3002.7078
-26667.2201,-10683.9949,-2168.3058
-26668.7406,-10679.8173,-1298.6745
-26690.1087,-10621.1087,-424.8326
-26688.0464,-10626.775,436.4035
-26702.282,-10587.663,1311.4867
-26716.5176,-10548.551,2186.5699
-26730.7532,-10509.439,3061.6531
-26744.9888,-10470.327,3936.7362
-26759.2244,-10431.215,4811.8194
-26683.7026,-10638.7095,5100.7755
-26611.4724,-10837.1602,4310.347
-26561.4108,-10974.7034,3446.5885
-26511.3492,-11112.2465,2582.83
-26377.8189,-11479.1181,1906.9307
-26179.3422,-12024.4282,1577.9386
-26110.223,-12214.3316,2353.3831
-26016.1064,-12472.915,3116.4866
-25953.5329,-12644.8343,3962.0995
-25769.032,-13151.7464,4502.9859
-25661.4233,-13447.3988,3896.1274
-25639.4311,-13507.8219,3022.4179
-25617.4389,-13568.245,2148.7083
-25581.1022,-13668.0791,1286.3253
-25528.1383,-13813.5963,869.3081
-28064.0055,-14593.8556,31.7754
-28332.3311,-13768.0342,1718.4178
-28787.8461,-12366.1032,4903.3005
-29021.6408999999,-11646.5568,-873.451
-29305.6323,-10772.5212,-833.923
-29345.4752,-10649.8973,-3649.6395
-29380.4462,-10542.2678,-5052.9258
-29356.1944,-10616.9069,-6493.0322
-29427.1862,-10398.4167,-6958.7496
-29685.674,-9602.8732,-6609.4903
-29585.4318,-9911.387,-7686.306
-29445.4961,-10342.0646,-8655.3674
-29403.7006,-10470.698,-9137.7749
-29348.2778,-10641.272,-9567.5315
-29334.3098,-10684.261,-9866.6845
-29307.5673,-10766.566,-10146.8404
-29276.126,-10863.3322,-10402.3944
-29242.515,-10966.7762,-10630.4892
-29195.9834,-11109.9857,-10834.7247
-29128.6757,-11317.1378,-11010.9683
-29067.6287,-11505.0209,-11151.8111
-29023.0781,-11642.1335,-11270.0931
-28988.5851,-11748.2921,-11375.9209
-28956.9348,-11845.7019,-11470.5537
-28925.726,-11941.7525,-11553.0111
-28906.5018,-12000.9186,-11648.4905
-28864.5733,-12129.9612,-11689.4471
-28817.7902,-12273.9448,-11697.7518
-28778.3279,-12395.3974,-11703.2423
-28744.2296,-12500.341,-11706.8721
-28714.2724,-12592.5397,-11709.404
-28687.2924,-12675.5759,-11709.6745
-28662.8851,-12750.6936,-11710.4411
-28640.281,-12820.2619,-11712.8253
-28618.8702,-12886.1577,-11715.9921
-28598.4387,-12949.0394,-11720.6106
-28577.9137,-13012.2089,-11719.7137
-28558.0033,-13073.4868,-11722.0001
-28537.7214,-13135.9081,-11722.5914
-28516.8179,-13200.2423,-11725.1921
-28495.2552,-13266.6055,-11726.9491
-28472.6134,-13336.2898,-11727.6121
-28449.1385,-13408.538,-11722.8325
-28422.9119,-13489.2551,-11723.6671
-28369.9556,-13652.238,-11810.5532
-28327.9755,-13781.4395,-11827.3477
-28276.7057,-13939.2317,-11847.4506
-28038.7904,-14671.4596,-12278.091
-27762.3063,-15522.3902,-12568.6109
-27569.7809,-16114.9224,-12590.509
-27409.5786,-16607.9743,-12458.9317
-27173.7862,-17333.6689,-12238.7668
-26642.5354,-18968.6906,-11894.7291
-26354.6073,-19854.8423,-11403.6818
-26258.1363,-20151.7493,-10771.6556
-26360.5552,-19836.5365,-10157.6038
-26386.9187,-19755.3982,-9537.3954
-26371.1597,-19803.8994,-8871.9476
-26418.3861,-19658.5514,-8240.1379
-26500.4172,-19406.0855,-7646.0824
-26603.088,-19090.0974,-7088.3528
-26672.8832,-18875.2896,-6450.304
-26758.8452,-18610.7258,-5811.7349
-26828.6603,-18395.8573,-5065.3721
-26975.5731,-17943.7061,-4535.2739
-27030.3243,-17775.1991,-3507.2867
-27198.8978,-17256.3834,-2881.8357
-27396.4141,-16648.4907,-2345.4763
-27588.6185,-16056.9462,-1628.4351
-27779.7556,-15468.6868,-546.0264
-28064.0055,-14593.8556,31.7754
-30477.2186,-15296.3228,-549.3722
-30819.7976,-14593.9318,275.4665
-31199.7435,-13814.9273,283.3006
-31688.085,-12813.679,1765.7565
-32102.8987,-11963.1847,1352.0648
-32240.5377,-11680.983,-1582.1709
-32377.4833,-11400.2029,-3009.0038
-32266.3764,-11628.0057,-5288.7185
-32378.4885,-11398.1419,-5835.4817
-32431.1324,-11290.206,-6475.894
-32376.9396,-11401.3176,-7326.7561
-32101.5912,-11965.8656,-8659.2852
-32178.4708,-11808.239,-8826.1492
-32217.1858,-11728.8615,-9069.5858
-32224.4666,-11713.9337,-9342.6291
-32206.9068,-11749.9365,-9623.0029
-32344.0186,-11468.8156,-9727.771
-32259.3177,-11642.4782,-10045.7805
-32233.8269,-11694.7422,-10275.6822
-32214.1126,-11735.1624,-10486.3477
-32185.4841,-11793.8597,-10684.0834
-32147.0808,-11872.598,-10868.9502
-32106.1463,-11956.5263,-11040.8427
-32022.8657,-12127.2767,-11188.9098
-31910.3325,-12358.004,-11298.5043
-31849.1167,-12483.5149,-11400.1695
-31800.8237,-12582.5303,-11493.2185
-31733.0771,-12721.4313,-11557.4822
-31663.428,-12864.2333,-11597.1558
-31592.7404,-13009.1644,-11614.9307
-31561.2214,-13073.7879,-11673.7046
-31509.8515,-13179.1118,-11689.1674
-31460.6225,-13280.0461,-11691.1783
-31418.6376,-13366.1279,-11695.8939
-31380.6841,-13443.9441,-11698.6088
-31345.8805,-13515.3021,-11697.1299
-31315.8697,-13576.8333,-11703.9052
-31287.2661,-13635.4794,-11708.8243
-31259.6553,-13692.0899,-11711.0426
-31233.2994,-13746.1275,-11711.4234
-31207.9731,-13798.0541,-11715.5745
-31182.5682,-13850.1419,-11717.2605
-31157.6184,-13901.2966,-11716.446
-31132.6033,-13952.5851,-11717.2527
-31107.4642,-14004.1279,-11717.9907
-31081.2564,-14057.8618,-11719.4613
-31054.0691,-14113.6041,-11722.0019
-31025.6043,-14171.9657,-11722.6658
-30996.0139,-14232.635,-11719.9033
-30962.4362,-14301.4793,-11724.1298
-30926.982,-14374.1714,-11724.1894
-30889.1899,-14451.6566,-11718.2642
-30705.6278,-14828.0146,-12006.6471
-30601.3562,-15041.8031,-12065.1581
-30481.3359,-15287.8811,-12109.5888
-30352.138,-15552.7761,-12120.9707
-29888.5755,-16503.2201,-12451.0651
-29603.1546,-17088.4197,-12430.1104
-29281.9506,-17746.9855,-12306.2148
-29173.7272,-17968.8764,-12009.5659
-28819.4943,-18695.1615,-11775.0863
-28386.8694,-19582.1738,-11223.8369
-28125.6258,-20117.8026,-10701.5491
-28033.7163,-20306.245,-10143.0367
-28055.1759,-20262.2462999999,-9592.9252
-28124.2432,-20120.6373,-9062.7778
-28123.0181,-20123.1493,-8476.305
-28204.7423,-19955.5898,-7939.035
-28281.8724,-19797.4496,-7389.0104
-28451.8813,-19448.8799,-6957.0364
-28609.2897,-19126.1448,-6518.7448
-28763.2786,-18810.4206,-6079.1916
-28920.1748,-18488.7357,-5636.4696
-29107.1336,-18105.4134,-5263.4061
-29246.7738,-17819.1086,-4724.1257
-29298.9524,-17712.1266,-3785.6359
-29481.9652,-17336.8947,-3180.6138
-29731.7956,-16824.6665,-2800.4105
-29934.9359,-16408.1672,-2014.868
-30208.0741,-15848.151,-1492.1876
-30477.2186,-15296.3228,-549.3722
-33095.1256,-15546.2954,-12062.4829
-32818.7031,-15795.1873,-12090.1913
-32225.6928,-16329.1362,-12141.7543
-31864.8701,-16654.0224,-12166.7166
-29264.551,-18995.3602,-12304.7785
-29040.3449,-19197.2364,-10247.1055
-29107.5059,-19136.7643,-9835.6957
-29221.1138,-19034.4713,-9437.0128
-29370.4318,-18900.0248,-9066.472
-29422.1889,-18853.4225,-8652.4884
-29565.0516,-18724.7883,-8284.9517
-29749.6212999999,-18558.601,-7951.7143
-29943.9683,-18383.6102,-7635.3288
-30066.5115,-18273.2718,-7250.9353
-30164.0095,-18185.4842,-6823.2133
-30325.8318,-18039.7787,-6440.9234
-30452.5849,-17925.6498,-5978.1867
-30610.3201,-17783.6243,-5514.0098
-30815.2723,-17599.0846,-5087.8552
-30909.6094,-17514.1431,-4328.7927
-30996.6926,-17435.733,-3253.4115
-31339.5519,-17127.0211,-2839.6802
-31922.948,-16601.7289,-3377.3795
-32275.5023,-16284.2876,-3031.4323
-32650.8326,-15946.3387,-2745.1427
-33055.2909,-15582.1627,-2770.933
-33459.961,-15217.7961,-2050.8786
-33912.8645,-14810,-1955.7994
-34074.7753,-14664.2149,-5838.5304
-34388.3476,-14381.8731,-5499.8758
-34639.6051,-14155.6398,-5704.6407
-34977.2509,-13851.6222,-5518.3956
-35252.1001,-13604.1468,-5648.6861
-35468.8477,-13408.9865,-5943.4675
-34684.332,-14115.3675,-8560.101
-34794.8161,-14015.8872,-8681.6528
-34937.543,-13887.3753,-8745.8278
-35064.3694,-13773.1803,-8847.5364
-35170.7619,-13677.3841,-8982.8318
-35258.649,-13598.2502,-9140.7074
-35321.2286,-13541.9033,-9321.4226
-35298.8037,-13562.0947,-9569.5622
-35281.6159,-13577.5707,-9787.548
-35328.2151,-13535.6126,-9948.6164
-35402.9992,-13468.2767,-10094.8129
-35349.6147,-13516.3443,-10299.6585
-35285.4051,-13574.1589,-10488.1026
-35221.4643,-13631.7314,-10660.9946
-35165.8929,-13681.7682,-10816.2536
-35106.8643,-13734.9178,-10962.3089
-35055.3415,-13781.3091,-11095.5453
-34980.0087,-13849.1391,-11218.0895
-34916.5458,-13906.2813,-11329.9078
-34832.6299,-13981.8395,-11427.597
-34739.2752,-14065.8964,-11508.6238
-34679.2654,-14119.9295,-11593.574
-34616.107,-14176.7976,-11671.5301
-34552.0608,-14234.4651,-11740.5115
-34484.2588,-14295.5143,-11801.4648
-34393.8425,-14376.9255,-11830.8599
-34315.385,-14447.5689,-11859.4763
-34247.5216,-14508.6734,-11892.7161
-34178.5269,-14570.7965,-11916.1056
-34106.6604999999,-14635.5053,-11924.2289
-34041.4777,-14694.1961,-11931.8482
-33978.2889,-14751.0916,-11936.0315
-33920.369,-14803.2429,-11944.1939
-33864.1803,-14853.8354,-11945.2528
-33810.4603,-14902.2052,-11950.3323
-33758.2827,-14949.1861,-11950.2841
-33707.5342,-14994.8802,-11951.7385
-33657.0193,-15040.3641,-11954.5039
-33607.5032,-15084.9486,-11956.5537
-33557.6837,-15129.8062,-11956.0508
-33507.9384,-15174.5971,-11957.7737
-33456.4067999999,-15220.9964,-11958.7182
-33403.232,-15268.8752,-11961.057
-33348.7332,-15317.9461,-11961.1181
-33290.4089,-15370.4615,-11965.4291
-33228.8698,-15425.8716,-11966.1554
-33095.1256,-15546.2954,-12062.4829
-29245.7699,-22662.666,-13672.4637
-29576.9935,-22331.4424,-12195.3352
-29522.2347,-22386.2012,-11600.6718
-29527.5473,-22380.8886,-11000.7967
-29786.2401,-22122.1958,-10427.8514
-30133.5345,-21774.9014,-9923.2957
-30523.5661,-21384.8698,-9494.1694
-30652.3308,-21256.1051,-9022.8013
-30584.6812,-21323.7547,-8445.9924
-30559.8232,-21348.6127,-7850.3481
-30631.2233,-21277.2126,-7280.795
-30779.3438,-21129.0921,-6751.3154
-31026.4311,-20882.0048,-6307.2478
-31307.85,-20600.5859,-5907.5349
-31619.4796,-20288.9563,-5558.1891
-31939.6077,-19968.8282,-5234.0968
-32393.197,-19515.2389,-5126.0687
-32776.8436,-19131.5923,-5009.6233
-33334.2196,-18574.2163,-5383.8076
-33787.8628,-18120.5731,-5779.205
-34203.2506,-17705.1853,-6210.8088
-34450.1319,-17458.304,-6047.6048
-34698.8792,-17209.5567,-5799.5358
-34974.4736,-16933.9623,-5716.0885
-35264.5074,-16643.9286,-5359.6286
-35589.8925,-16318.5434,-5048.1182
-35997.358,-15911.0779,-4378.5541
-36395.3271,-15513.1089,-4234.6691
-36840.5542,-15067.8817,-4025.9027
-37234.809,-14673.6269,-4138.4273
-37787.3907,-14121.0452,-3963.8031
-38057.3232,-13851.1127,-4484.5986
-38071.4279,-13837.008,-5549.2716
-38207.1757,-13701.2602,-6122.5921
-38159.0936,-13749.3423,-6875.3312
-38178.8759,-13729.56,-7431.0872
