x,y,z
-1770.2465,-1331.7631,-2830.8088
-1761.0049,-1344.9615,-2839.9201
-1750.6163,-1359.7979,-2847.2291
-1740.1501,-1374.7453,-2855.4106
-1742.4838,-1371.4124,-2896.826
-1739.6386,-1375.4757,-2913.1441
-1739.0422,-1376.3274,-2930.7339
-1739.4641,-1375.7249,-2947.7668
-1737.5662,-1378.4355,-2961.8365
-1735.4307,-1381.4852,-2975.476
-1732.9277,-1385.0599,-2988.7041
-1730.7538,-1388.1645,-3002.165
-1726.11,-1394.7966,-3015.5372
-1725.6055,-1395.5171,-3029.9111
-1725.6199,-1395.4965,-3044.059
-1724.7664,-1396.7155,-3058.5888
-1723.8994,-1397.9536,-3073.697
-1722.1145,-1400.5027,-3090.2233
-1713.0362,-1413.4678,-3113.6629
-1699.4425,-1432.8817,-3145.275
-1464.2892,-1768.7154,-3485.2817
-1271.2167,-2044.4515,-3850.4694
-4257.3605,2220.2038,-6035.3221
-3436.4124,1047.7683,-4257.9054
-3332.1893,898.9224,-3948.4475
-2986.9208,405.8278,-3541.5577
-2788.7413,122.7982,-3083.3162
-2767.1039,91.8968,-2959.6538
-2740.9237,54.5077,-2839.9325
-2736.5969,48.3282,-2435.5686
-1760.8916,-2610.7521,-3139.2519
-1797.1034,-2559.0362,-3051.172
-1836.5886,-2502.6455,-2965.8645
-1880.44,-2440.0192,-2886.3947
-1928.0414,-2372.0374,-2812.9931
-1970.004,-2312.1085,-2718.3105
-2035.6006,-2218.427,-2693.7995
-2123.1851,-2093.3434,-2773.6996
-2192.3698,-1994.5373,-2815.5615
-2255.1453,-1904.8846,-2862.0496
-2296.1725,-1846.2917,-2749.8698
-2346.2796,-1774.7313,-2628.7443
-2403.5129,-1692.9938,-2334.0567
-2487.0819,-1573.6449,-2004.5362
-2581.0825,-1439.3981,-1914.9925
-2669.1211,-1313.6659,-1958.2013
-2746.4753,-1203.1926,-2060.1323
-2866.8492,-1031.2809,-1934.8339
-2952.9934,-908.2542,-2009.2762
-3020.4768,-811.878,-2143.9937
-3080.8002,-725.7272,-2278.3311
-3137.1044,-645.3164,-2408.6556
-3192.6798,-565.9465,-2533.6503
-3250.0746,-483.9782,-2647.2817
-3305.6771,-404.5697,-2761.6454
-3357.4374,-330.6484,-2881.1569
-3410.4344,-254.9608,-3000.2395
-3469.7865,-170.1972,-3114.3257
-3527.1308,-88.301,-3238.7135
-3585.3367,-5.1745,-3369.6141
-3819.7168,329.555,-3881.2875
-3963.4963,534.8935,-4065.3743
-4065.9233,681.1744,-4277.906
-4598.8194,1442.2289,-5238.4074
-4769.9756,1686.6653,-5698.0129
-4953.8569,1949.275,-6215.7836
-5174.7783,2264.7834,-7852.2296
-257.7396,-4757.4755,-7931.3434
-900.6556,-3839.2964,-6158.5509
-1379.8798,-3154.8932,-5073.6871
-1351.1944,-3195.8603,-4925.933
-1201.6649,-3409.4105,-4519.6945
-1266.6074,-3316.6631,-4339.6229
-1342.4971,-3208.2813,-4178.7687
-1393.4209,-3135.5545,-4034.6934
-1546.0117,-2917.6324,-3601.1289
-1591.8823,-2852.1223,-3505.8014
-1631.1471,-2796.0463,-3413.4982
-1673.4145,-2735.6823,-3327.8556
-1708.5113,-2685.5589,-3237.8559
-1760.8916,-2610.7521,-3139.2519
-2849.8839,-2342.1555,-3029.9279
-2934.0353,-2221.9749,-2825.5178
-3029.2623,-2085.9766,-2782.0578
-3130.6018,-1941.2488,-2695.5748
-3249.6356,-1771.251,-2499.4112
-3357.3003,-1617.4898,-2537.4723
-3459.8002,-1471.1048,-2608.7821
-3547.3773,-1346.0317,-2739.6898
-3633.9002,-1222.4643,-2852.6644
-3717.9193,-1102.4725,-2966.8873
-3784.4583,-1007.445,-3115.4884
-3846.8091,-918.3988,-3260.3134
-3893.3553,-851.924,-3424.2794
-3937.938,-788.2532,-3581.591
-3973.4962,-737.4709,-3739.0547
-4025.8188,-662.7464,-3868.0925
-4085.7886,-577.1008,-3990.5052
-4146.1082,-490.9555,-4117.1394
-4210.4822,-399.0198,-4244.5296
-4290.922,-284.1398,-4374.8965
-4355.9325,-191.2953,-4525.854
-4415.4822,-106.2495,-4687.2918
-4581.4377,130.7595,-5323.2651
-4645.6592,222.4773,-5549.1973
-4718.9726,327.1797,-5801.1419
-5116.1215,894.3672,-6909.1953
-5519.7955,1470.8733,-7712.5454
-5497.7013,1439.3196,-8149.4534
-925.7573,-5090.0932,-8263.9611
-325.4731,-5947.3877,-7745.9154
-792.5658,-5280.3103,-6880.9709
-1722.8742,-3951.6923,-5525.1533
-1777.9327,-3873.0605,-5340.1238
-1712.928,-3965.8969,-5188.0648
-1653.0661,-4051.3885,-4572.2923
-1649.1721,-4056.9497,-4357.4245
-1662.2431,-4038.2824,-4106.4864
-1703.7088,-3979.0633,-3932.6559
-1764.4415,-3892.3279,-3776.0323
-1852.323,-3766.8202,-3654.7423
-1948.7821,-3629.0624,-3553.2651
-2247.0609,-3203.0761,-3778.6349
-2343.9551,-3064.6968,-3759.7024
-2401.4537,-2982.5802,-3677.1351
-2453.81,-2907.8077,-3583.2634
-2511.0397,-2826.0752,-3492.223
-2570.4087,-2741.2875,-3398.1286
-2631.3488,-2654.2561,-3293.9721
-2696.602,-2561.0648,-3190.5494
-2771.0748,-2454.7067,-3107.6139
-2849.8839,-2342.1555,-3029.9279
-5434.9309,63.0285,-8557.8919
-5550.568,228.1754,-8302.7281
-5593.8585,290.0005,-7999.8047
-5264.5906,-180.2427,-6916.478
-5220.9502,-242.5676,-6673.0874
-5182.0157,-298.1718,-6449.3124
-5019.5458,-530.2029,-5772.1094
